"Mfg","Model No","Part No","Desc","Qty","Taxable","Our Cost","Our Cost Ext","Markup","Cost","Extended","Tax","Tax Extended","Type","Hrs","Hrs Ext","Rate","Extended","Row Total"
"Crestron","CRESNET-P-OR-SP500","6500185","Cresnetﾮ Control Cable, Plenum-Rated, Orange, 500 ft (152 m) spool",1,true,225,225,30,292.5,292.5,26.325,318.825,"General Senior Programmer",8,8,135,1080,1398.825
"Crestron","CRESNET-P-TL-SP1000","6500941","Cresnetﾮ Control Cable, Plenum-Rated, Teal, 1000 ft (304 m) spool",1,true,550,550,30,715,715,64.35,779.35,"General Senior Programmer",8,8,135,1080,1859.35
"Crestron","CRESNET-P-TL-SP500","6500098","Cresnetﾮ Control Cable, Plenum-Rated, Teal, 500 ft (152 m) spool",1,true,225,225,30,292.5,292.5,26.325,318.825,"General Senior Programmer",8,8,135,1080,1398.825
"Crestron","B-G1-FP-BLK/CHRM","6500836","1-Gang Metallic Faceplate Cover for CNX-B Designer Keypads, Black Chrome",1,true,25,25,30,32.5,32.5,2.925,35.425,"General Senior Programmer",8,8,135,1080,1115.425
"Crestron","B-G2-FP-BLK/CHRM","6500840","2-Gang Metallic Faceplate Cover for B-G2-FP Faceplates, Black Chrome",1,true,35,35,30,45.5,45.5,4.095,49.595,"General Senior Programmer",8,8,135,1080,1129.595
"Crestron","B-G3-FP-BLK/CHRM","6500708","3-Gang Metallic Faceplate Cover for B-G3-FP Faceplates, Black Chrome",1,true,50,50,30,65,65,5.85,70.85,"General Senior Programmer",8,8,135,1080,1150.85
"Crestron","CLK-BD-85386-260-ACLHRH","6507442","Baldwinﾮ Soho Sectional Entry Handleset Kit, Polished Chrome. Please allow 2-3 weeks for delivery. Available in US and Canada only.",1,true,241,241,30,313.3,313.3,28.197,341.497,"General Senior Programmer",8,8,135,1080,1421.497
"Crestron","CLK-BD-85386-264-ACLHRH","6507443","Baldwinﾮ Soho Sectional Entry Handleset Kit, Satin Chrome. Please allow 2-3 weeks for delivery. Available in US and Canada only.",1,true,241,241,30,313.3,313.3,28.197,341.497,"General Senior Programmer",8,8,135,1080,1421.497
"Crestron","CLK-BD-85387-260-ACLHRH","6507445","Baldwinﾮ Soho 3/4 Escutcheon Entry Handleset Kit, Polished Chrome. Please allow 2-3 weeks for delivery. Available in US and Canada only.",1,true,345,345,30,448.5,448.5,40.365,488.865,"General Senior Programmer",8,8,135,1080,1568.865
"Crestron","CLK-BD-85387-264-ACLHRH","6507446","Baldwinﾮ Soho 3/4 Escutcheon Entry Handleset Kit, Satin Chrome. Please allow 2-3 weeks for delivery. Available in US and Canada only.",1,true,345,345,30,448.5,448.5,40.365,488.865,"General Senior Programmer",8,8,135,1080,1568.865
"Crestron","HR-BTN-B_BLANK","6507401","Single Backlit Engravable Button Cap for HR-100 & HR-150, Black, Engraving Not Included",1,true,5,5,30,6.5,6.5,0.585,7.085,"General Senior Programmer",8,8,135,1080,1087.085
"Crestron","HR-BTN-B_ENGRAVED","6507402","Single Backlit Engravable Button Cap for HR-100 & HR-150, Black, Includes Custom Engraving",1,true,5,5,30,6.5,6.5,0.585,7.085,"General Senior Programmer",8,8,135,1080,1087.085
"PANDUIT SALES CORP","UTPCH10BUY","UTPCH10BUY","PAN PATCH CORD CAT5E 10FT BLU",1,true,4.85,4.85,30,6.305,6.305,0.5674499999999999,6.87245,"General Senior Programmer",8,8,135,1080,1086.87245
"PANDUIT SALES CORP","UTPCH3BUY","UTPCH3BUY","PAN PATCH CORD CAT5E 3FT BLU",1,true,2.8,2.8,30,3.6399999999999997,3.6399999999999997,0.32759999999999995,3.9675999999999996,"General Senior Programmer",8,8,135,1080,1083.9676
"PANDUIT SALES CORP","UTPCH5BUY","UTPCH5BUY","PAN PATCH CORD CAT5E 5FT BLU",1,true,3,3,30,3.9,3.9,0.351,4.2509999999999994,"General Senior Programmer",8,8,135,1080,1084.251
"PANDUIT SALES CORP","UTPCH5BUY","UTPCH5BUY","PAN PATCH CORD CAT5E 5FT BLU",1,true,3,3,30,3.9,3.9,0.351,4.2509999999999994,"General Senior Programmer",8,8,135,1080,1084.251
"PANDUIT SALES CORP","UTPCH7BUY","UTPCH7BUY","PAN PATCH CORD CAT5E 7FT BLU",1,true,3.25,3.25,30,4.225,4.225,0.38025,4.60525,"General Senior Programmer",8,8,135,1080,1084.60525
"Crestron","B-G1-FP-BLK/CHRM","6500836","1-Gang Metallic Faceplate Cover for CNX-B Designer Keypads, Black Chrome",1,true,25,25,30,32.5,32.5,2.925,35.425,"General Senior Programmer",8,8,135,1080,1115.425
"Crestron","B-G2-FP-BLK/CHRM","6500840","2-Gang Metallic Faceplate Cover for B-G2-FP Faceplates, Black Chrome",1,true,35,35,30,45.5,45.5,4.095,49.595,"General Senior Programmer",8,8,135,1080,1129.595
"Crestron","B-G3-FP-BLK/CHRM","6500708","3-Gang Metallic Faceplate Cover for B-G3-FP Faceplates, Black Chrome",1,true,50,50,30,65,65,5.85,70.85,"General Senior Programmer",8,8,135,1080,1150.85
,,,"njkjilij,u",,,,,,,,,,,,,,,809
